,title,director,year,stars,tmdb_title,tmdb_id,tmdb_genre,tmdb_lang,tmdb_runtime,tmdb_vote_cnt,tmdb_vote_avg
149,Blue Velvet,David Lynch,1986,,Blue Velvet,793,Film,en,120,3072,7.631
150,Pather Panchali (Apu Trilogy 1),Satyajit Ray,1955,5.0,Pather Panchali,5801,Film,bn,125,369,8.007
151,Le gamin au vélo,Jean-Pierre Dardenne,2011,4.0,The Kid with a Bike,63831,Film,fr,87,402,7.131
152,El año pasado en Marienbad,Alain Resnais,1961,,Last Year at Marienbad,4024,Film,fr,95,462,7.437
153,Los olvidados,Luis Buñuel,1950,,The Young and the Damned,800,Film,es,77,451,8.055
154,Aparajito (Apu Trilogy 2),Satyajit Ray,1957,5.0,Aparajito,897,Film,bn,110,217,8.0
155,El niño,Jean-Pierre Dardenne,2005,,El niño con ojos de clavo,1240767,Film,es,0,0,0.0
156,13 asesinos,Takashi Miike,2010,,13 Assassins,58857,Film,ja,141,1045,7.31
157,Apur Sansar (Apu Trilogy 3),Satyajit Ray,1959,,Apur Sansar,896,Film,bn,105,209,8.175
158,Dersu Uzala,Akira Kurosawa,1975,,Dersu Uzala,9764,Film,ru,141,484,7.988
159,I´m not there,Todd Haynes,2007,,I'm Not There,3902,Film,en,135,646,6.562
160,The Straight story,David Lynch,1999,,The Straight Story,404,Film,en,112,1413,7.724
161,The Picture of Dorian Gray,Albert Lewin,1945,,The Picture of Dorian Gray,16559,Film,en,111,238,7.103
162,The Fortune Cookie,Billy Wilder,1966,,The Fortune Cookie,1888,Film,en,125,282,7.232
163,The Professionals,Richard Brooks,1966,,The Professionals,22383,Film,en,117,275,7.058
164,The Thin Red Line,Terrence Malick,1998,5.0,The Thin Red Line,8741,Film,en,171,2785,7.445
165,El hundimiento,Oliver Hirschbiegel,2004,,Downfall,613,Film,de,155,3583,7.859
166,Badlands,Terrence Malick,1973,4.0,Badlands,3133,Film,en,94,1093,7.5
167,Caro Diario,Nanni Moretti,1993,4.0,Caro diario,25403,Film,it,101,429,7.411
168,Milagro en Milán,Vittorio De Sica,1951,,Miracle in Milan,43379,Film,it,97,215,7.272
169,Utamaro y sus cinco mujeres,Kenji Mizoguchi,1946,,Utamaro and His Five Women,101382,Film,ja,94,28,7.2
170,La gran ilusión,Jean Renoir,1937,,Grand Illusion,777,Film,fr,114,634,7.847
171,Limelight (Candilejas),Charlie Chaplin,1952,,Limelight,28971,Film,en,137,486,8.0
172,El salario del miedo,Henri-Georges Clouzot,1953,,The Wages of Fear,204,Film,fr,148,844,8.028
173,Une partie de campagne (A Day in the Country),Jean Renoir,1946,,A Day in the Country,43878,Film,fr,41,176,7.327
174,The Great Dictator,Charlie Chaplin,1940,,The Great Dictator,914,Film,en,125,3147,8.333
175,El séptimo sello,Ingmar Bergman,1957,,The Seventh Seal,490,Film,sv,96,2791,8.197
176,My Fair Lady,George Cukor,1964,4.0,My Fair Lady,11113,Film,en,170,1208,7.5
177,The Kid,Charlie Chaplin,1921,,The Kid,10098,Film,en,68,1946,8.185
178,Mogambo,John Ford,1953,,Mogambo,25009,Film,en,115,144,6.5
179,The Lady from Shanghai,Orson Welles,1947,4.0,The Lady from Shanghai,3766,Film,en,87,598,7.365
180,Les enfants du paradis,Marcel Carné,1945,,Children of Paradise,2457,Film,fr,191,372,8.125
181,Mientras duermes,Jaume Balagueró,2011,,Sleep Tight,77495,Film,es,97,1015,7.082
182,8 1/2,Federico Fellini,1963,,8½,422,Film,it,139,2132,8.168
183,The Night of the Iguana,John Huston,1964,,The Night of the Iguana,14703,Film,en,118,136,7.107
184,"M, El vampiro de Dusseldorf",Fritz Lang,1931,,M,832,Film,de,111,2001,8.091
185,El pisito,Marco Ferreri,1959,,The Little Apartment,110924,Film,es,87,25,6.5
186,Calle Mayor,Juan Antonio Bardem,1956,,Main Street,104607,Film,es,98,45,7.178
187,Muerte de un ciclista,Juan Antonio Bardem,1955,,Death of a Cyclist,72083,Film,es,88,91,7.143
188,Historias de la radio,José L. Sáenz De Heredia,1955,,Radio Stories,96242,Film,es,95,10,7.1
189,Abril,Nanni Moretti,1998,,Aprile,32117,Film,it,78,197,7.439
190,Calabuch,Luis G. Berlanga,1956,,The Rocket from Calabuch,107612,Film,es,93,32,7.3
191,Los jueves milagro,Luis G. Berlanga,1957,,Miracles of Thursday,100052,Film,es,84,26,6.654
192,Manhattan Murder Mystery,Woody Allen,1993,,Manhattan Murder Mystery,10440,Film,en,104,1000,7.277
193,El apartamento,Billy Wilder,1960,5.0,The Apartment,284,Film,en,125,2103,8.216
194,Ojos negros,Nikita Mijalkov,1987,,Dark Eyes,44658,Film,ru,121,76,6.914
195,El cochecito,Marco Ferreri,1960,,The Wheelchair,99883,Film,es,85,41,6.9
196,Surcos,José A. Nieves Conde,1951,,Surcos,103937,Film,es,99,19,7.0
197,La tía Tula,Miguel Picazo,1964,,Aunt Tula,131344,Film,es,103,17,6.2
198,Vida en sombras,Lorenzo Llobet Gràcia,1949,,Living in Shadows,180010,Film,es,74,10,7.3
199,Las Hurdes (Tierra sin pan),Luis Buñuel,1933,,Land Without Bread,91,Documentary,es,29,147,7.1
200,Las verdes praderas,José Luis Garci,1979,,Las verdes praderas,275294,Film,es,89,9,6.2
201,La torre de los siete jorobados,Edgar Neville,1944,,La torre de los siete jorobados,118673,Film,es,80,20,6.325
202,El camino a casa,Zhang Yimou,1999,,The Road Home,12276,Film,zh,89,184,7.5
203,El viaje a ninguna parte,Fernando Fernan Gómez,1986,,Voyage to Nowhere,156453,Film,es,134,33,7.3
204,Moonrise Kingdom,Wes Anderson,2012,,Moonrise Kingdom,83666,Film,en,94,5578,7.692
205,Sorgo rojo (Red Sorghum),Zhang Yimou,1988,,Red Sorghum,42006,Film,zh,91,185,7.17
206,El extraño viaje,Fernando Fernan Gómez,1964,,Strange Voyage,162510,Film,es,89,40,7.2
207,September,Woody Allen,1987,,September,22477,Film,en,82,169,6.204
208,El discreto encanto de la burguesía,Luis Buñuel,1972,4.0,The Discreet Charm of the Bourgeoisie,4593,Film,fr,101,730,7.523
209,Todo lo que quiso saber sobre el sexo,Woody Allen,1972,,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,11624,Film,en,88,862,6.5
210,No tengas miedo,Montxo Armendáriz,2011,,Don't Be Afraid,73738,Film,es,90,51,6.6
211,Ese oscuro objeto del deseo,Luis Buñuel,1977,,That Obscure Object of Desire,5781,Film,fr,103,355,7.428
212,Nazarín,Luis Buñuel,1959,,Nazarin,35124,Film,es,95,127,7.7
213,Las cartas de Alou,Montxo Armendáriz,1990,,Letters from Alou,95613,Film,es,100,8,5.1
214,Alice,Woody Allen,1990,,Alice,8217,Film,en,102,270,6.411
215,Las acacias,Pablo Giorgelli,2011,4.0,Las acacias,85549,Film,es,85,37,6.4
216,Rumble Fish,Francis Ford Coppola,1983,5.0,Rumble Fish,232,Film,en,94,625,6.978
217,Sleeper,Woody Allen,1973,,Sleeper,11561,Film,en,87,724,6.912
218,Zelig,Woody Allen,1983,,Zelig,11030,Film,en,79,802,7.447
219,El bosque animado,José Luis Cuerda,1987,,The Enchanted Forest,60311,Film,es,107,30,6.8
220,The Hustler,Robert Rossen,1961,5.0,The Hustler,990,Film,en,134,895,7.693
221,Kiseki (Milagro),Hirokazu Kore-Eda,2011,,I Wish,79382,Film,ja,127,146,7.3
222,Comedia sexual de una noche de verano (A Midsummer Night's Sex Comedy),Woody Allen,1982,,A Midsummer Night's Sex Comedy,8288,Film,en,88,374,6.464
223,Radio Days,Woody Allen,1987,,Radio Days,30890,Film,en,90,520,7.037
224,Bananas,Woody Allen,1971,,Bananas,11302,Film,en,82,688,6.695
225,La rosa púrpura de El Cairo,Woody Allen,1985,,The Purple Rose of Cairo,10849,Film,en,82,946,7.389
226,La maldición del escorpión de Jade,Woody Allen,2001,,The Curse of the Jade Scorpion,2779,Film,en,103,717,6.6
227,Memorias del subdesarrollo,Tomás Gutiérrez Alea,1968,,Memories of Underdevelopment,47576,Film,es,99,74,7.486
228,Muerte de un burócrata,Tomás Gutiérrez Alea,1966,,Death of a Bureaucrat,43778,Film,es,84,40,7.288
229,Still walking,Hirokazu Kore-Eda,2008,,Still Walking,25050,Film,ja,114,331,7.719
230,Ciudad de Dios,Fernando Meirelles,2002,,City of God,598,Film,pt,130,6920,8.434
231,La teta asustada,Claudia Llosa,2009,,The Milk of Sorrow,28644,Film,es,94,87,6.224
232,La buena vida,Andrés Wood,2004,,Una chica buena de la mala vida,941960,Film,es,0,1,6.0
233,Machuca,Andrés Wood,2004,,Machuca,12086,Film,es,116,191,7.738
234,El aura,Fabián Bielinsky,2005,,The Aura,13653,Film,es,134,182,7.011
235,La escalera de caracol (The Spiral Staircase),Robert Siodmak,1946,,The Spiral Staircase,27452,Film,en,83,219,7.034
236,Nadie sabe,Hirokazu Kore-Eda,2004,,Nobody Knows,2517,Film,ja,141,462,7.99
237,Fat city (Ciudad dorada),John Huston,1972,5.0,Fat City,16993,Film,en,97,138,7.1
238,Eduardo Manostijeras (Edward Scissorhands),Tim Burton,1990,,Edward Scissorhands,162,Film,en,105,12335,7.715
239,Laura,Otto Preminger,1944,,Laura,1939,Film,en,88,732,7.634
240,Winchester 73,Anthony Mann,1950,,Winchester '73,14551,Film,en,92,325,7.277
241,Anatomía de un asesinato,Otto Preminger,1959,4.0,Anatomy of a Murder,93,Film,en,161,890,7.8
242,Gritos y susurros,Ingmar Bergman,1972,4.0,Cries and Whispers,10238,Film,sv,95,636,7.9
243,Vidas rebeldes (The Misfits),John Huston,1961,,The Misfits,11536,Film,en,124,344,6.956
244,Swimming Pool,François Ozon,2003,,Swimming Pool,302,Film,en,102,648,6.511
245,The Passion of Anna,Ingmar Bergman,1969,,The Passion of Anna,42602,Film,sv,101,162,7.512
246,Alps,Giorgo Lanthimos,2011,,Sennentuntschi: Curse of the Alps,61722,Film,de,110,67,6.396
247,8 mujeres,François Ozon,2002,,8 Women,1958,Film,fr,111,919,6.9
248,"Uno, dos, tres",Billy Wilder,1961,,"One, Two, Three",430,Film,en,109,344,7.541
249,La promesa,Jean-Pierre Dardenne,1996,,La Promesse,24183,Film,fr,94,160,7.151
250,Take Shelter,Jeff Nichols,2011,,Take Shelter,64720,Film,en,120,1634,7.047
251,Deconstructing Harry,Woody Allen,1997,,Deconstructing Harry,2639,Film,en,96,897,7.282
252,Infancia clandestina,Benjamín Ávila,2012,,Clandestine Childhood,127880,Film,es,112,54,6.944
253,Otra mujer,Woody Allen,1988,,Another Woman,22478,Film,en,84,236,6.78
254,El imperio de los sentidos,Nagisa Oshima,1976,,In the Realm of the Senses,5879,Film,ja,105,568,6.606
255,What Ever Happened to Baby Jane?,Robert Aldrich,1962,4.0,What Ever Happened to Baby Jane?,10242,Film,en,135,964,7.929
256,The Guard,John Michael Mcdonagh,2011,,The Guard,67913,Film,en,96,1115,6.987
257,Trainspotting,Danny Boyle,1996,,Trainspotting,627,Film,en,94,9215,7.969
258,La cueva de los sueños olvidados,Werner Herzog,2010,,Cave of Forgotten Dreams,59490,Documentary,en,90,313,7.1
259,Andrei Rubliov,Andrei Tarkovsky,1966,,Andrei Rublev,895,Film,ru,183,736,8.033
260,A Brand New Life,Ounie Lecomte,2009,4.0,A Brand New Life,48508,Film,ko,92,59,7.3
261,El desencanto,Jaime Chavarri,1976,,The Disenchantment,4496,Documentary,es,97,24,7.4
262,La luna en ti,Diana Fabianova,2009,,The Moon Inside You,54317,Documentary,en,75,1,10.0
263,Después de tantos años,Ricardo Franco,1994,,After All These Years,260141,Documentary,es,84,4,4.9
264,Born Into Brothels,Zana Briski,2005,,Born Into Brothels: Calcutta's Red Light Kids,1392,Documentary,en,85,201,6.863
265,Shame,Steve Mcqueen,2011,,Shame,76025,Film,en,102,2997,6.9
266,Secret Sunshine,Lee Chang-Dong,2007,4.0,Secret Sunshine,2015,Film,ko,143,193,7.135
267,Grizzly Man,Werner Herzog,2005,,Grizzly Man,501,Documentary,en,103,788,7.536
268,Mónica del Raval,Fransesc Betriu,2009,4.0,Mónica del Raval,134787,Documentary,es,108,8,6.1
269,Tralas Luces,Sandra Sánchez,2011,,Tralas Luces,367864,Documentary,en,112,1,6.0
270,Encounters At The End Of The World,Werner Herzog,2007,4.0,Encounters at the End of the World,12172,Documentary,en,99,249,7.4
271,"Nanuk, el esquimal",Robert J. Flaherty,1922,,Nanook of the North,669,Documentary,en,79,275,7.111
272,El viaje del emperador,Luc Jacquet,2005,,March of the Penguins,1667,Documentary,fr,80,1064,7.033
273,El gran silencio,Philip Gröning,2005,,Into Great Silence,11225,Documentary,de,162,35,6.986
274,La rueda del tiempo,Werner Herzog,2003,,Wheel of Time,51311,Documentary,de,83,42,6.5
275,Océanos,Jacques Perrin,2010,,Hidalgo,2023,Film,en,136,1116,6.827
