date,title,director,year,stars
2014-11-11,Ocho apellidos vascos,Emilio Martínez-Lázaro,2014,
2014-11-14,Las brujas de Zugarramurdi,Alex De La Iglesia,2013,
2014-11-28,Fish Tank,Andrea Arnold,2009,
2014-11-29,Hannah Arendt,Margarethe von Trotta,2012,
2014-11-30,La bicicleta verde,Haifaa Al-Mansour,2012,
2014-12-05,Sólo un beso (Ae Fond Kiss),Ken Loach,2004,5
2014-12-06,Esa pareja feliz,Luis G. Berlanga,1953,
2014-12-07,Asier eta biok,Aitor Merino,2014,
2014-12-11,Some Like It Hot,Billy Wilder,1959,
2014-12-13,El último beso,Gabriele Muccino,2001,
2014-12-14,Dancing Dreams,Rainer Hoffman,2010,
2014-12-19,Flor del desierto,Sherry Hormann,2009,
2014-12-20,Caos calmo,Antonello Grimaldi,2008,
2014-12-21,Iluminados por el fuego,Tristán Bauer,2005,
2014-12-26,Buscando a Eric,Ken Loach,2009,4
2014-12-28,Cuadernos de contabilidad de Manolo Millares,Juan Millares,2006,
2015-01-02,La parte de los ángeles,Ken Loach,2012,
2015-01-05,The Act of Killing,Joshua Oppenheimer,2012,
2015-01-09,El gran hotel Budapest,Wes Anderson,2014,
2015-01-16,Sud Express,Chema de la Peña,2006,
2015-01-23,Interstellar,Christopher Nolan,2014,
2015-01-24,Lourdes,Jessica Hausner,2009,4
2015-01-25,Ciutat morta,Xavier Artigas,2013,
2015-01-30,Le père de mes enfants,Mia Hansen-Love,2009,
2015-01-31,Exils,Tony Gatlif,2004,
2015-02-06,Garage,Lenny Abrahamson,2007,
2015-02-07,La pesca del salmón en Yemen,Lasse Hallstrom,2011,
