      Evento;       Fecha;        Hora;     Latitud;    Longitud;  Prof. (Km);      Inten.;        Mag.;   Tipo Mag.;Localización
      535128;  15/01/2005;    13:03:03;     42.9961;     -1.8895;         2.2;            ;         1.9;           4;SE MUGIRO.NA
      549444;  28/02/2005;    21:30:11;     43.1195;     -1.7266;         0.0;            ;         1.3;           4;SW ITUREN.NA
      555938;  25/03/2005;    07:50:25;     43.0334;     -2.0007;         8.0;            ;         1.8;           4;NW BETELU.NA
      584396;  29/06/2005;    22:44:06;     43.1064;     -1.7328;         0.0;            ;         1.4;           4;NE BEINTZA-LABAIEN.NA
      601969;  13/09/2005;    00:29:25;     42.9564;     -1.9129;         5.1;            ;         1.5;           4;NE IRAÑETA.NA
      608858;  11/10/2005;    23:37:17;     42.9948;     -1.9598;         0.0;            ;         1.0;           4;SE BETELU.NA
      613718;  12/11/2005;    02:27:51;     42.9420;     -1.9456;         0.0;            ;         1.9;           4;N IRAÑETA.NA
      613988;  15/11/2005;    04:48:38;     43.2263;     -2.0565;         0.0;            ;         1.0;           4;NW ADUNA.SS
      617797;  06/12/2005;    03:37:54;     42.9815;     -1.9790;         0.0;            ;         1.3;           4;S BETELU.NA
      623318;  06/01/2006;    21:40:25;     43.1224;     -1.7724;         0.0;            ;         1.2;           4;W ZUBIETA.NA
      624907;  14/01/2006;    19:47:52;     43.2206;     -1.7658;        11.6;            ;         1.5;           4;NW ARANTZA.NA
      629575;  06/02/2006;    10:29:16;     43.2048;     -1.9012;        16.1;            ;         1.7;           4;NW ARANO.NA
      629577;  06/02/2006;    10:30:13;     43.2415;     -1.9455;        11.6;            ;         1.3;           4;E URNIETA.SS
      630031;  08/02/2006;    03:45:55;     43.1952;     -1.9154;        19.6;            ;         1.1;           4;SE URNIETA.SS
      631540;  15/02/2006;    21:58:32;     43.0883;     -1.7193;         0.0;            ;         1.0;           4;E BEINTZA-LABAIEN.NA
      634934;  23/02/2006;    06:20:36;     43.0719;     -1.7349;         4.1;            ;         2.3;           4;SE BEINTZA-LABAIEN.NA
      637756;  05/03/2006;    07:00:00;     42.9841;     -1.7485;         0.0;            ;         1.3;           4;NE ETXALEKU.NA
      637853;  05/03/2006;    16:33:44;     42.9656;     -1.8050;         0.0;            ;         2.4;           4;SW ETXALEKU.NA
      650695;  23/04/2006;    15:27:08;     43.0735;     -1.7673;         0.0;            ;         1.7;           4;SE SALDÍAS.NA
      664442;  04/06/2006;    04:53:55;     42.9945;     -1.7777;         0.0;            ;         1.0;           4;SE JAUNSARATS.NA
      664444;  04/06/2006;    05:10:53;     42.9735;     -1.8153;         0.0;            ;         1.1;           4;W ETXALEKU.NA
      665966;  09/06/2006;    23:20:13;     43.1024;     -1.7960;         0.0;            ;         0.9;           4;NW SALDÍAS.NA
      666222;  12/06/2006;    04:06:14;     43.1841;     -1.7520;        11.6;            ;         1.6;           4;SW ARANTZA.NA
      669132;  23/06/2006;    02:29:36;     42.9591;     -1.9237;         0.2;            ;         1.3;           4;NE IRAÑETA.NA
      671570;  02/07/2006;    22:45:32;     43.1986;     -1.8534;        17.8;            ;         0.7;           4;NE GOIZUETA.NA
      707954;  03/12/2006;    00:49:39;     43.2434;     -1.7977;        17.6;            ;         1.1;           4;W LESAKA.NA
      720447;  25/01/2007;    02:49:07;     43.0182;     -2.0437;        10.9;            ;         1.4;           4;SE AMEZKETA.SS
      721296;  29/01/2007;    22:46:30;     42.9803;     -2.0504;        10.7;            ;         1.1;           4;NW LAKUNTZA.NA
      724230;  10/02/2007;    04:00:33;     43.1647;     -1.9740;        24.8;            ;         2.0;           4;NE ELDUAIN.SS
      736325;  16/03/2007;    21:20:25;     43.2607;     -1.7833;        11.5;            ;         1.4;           4;W LESAKA.NA
      739449;  31/03/2007;    23:57:58;     42.8936;     -1.8724;         0.0;            ;         1.1;           4;NW OLLO.NA
      747654;  19/04/2007;    15:31:39;     43.1145;     -1.7627;         0.0;            ;         1.3;           4;SW ZUBIETA.NA
      774836;  22/07/2007;    20:44:18;     42.9508;     -1.8533;         0.0;            ;         1.0;           4;NW EGIARRETA.NA
      777322;  31/07/2007;    21:40:29;     42.9400;     -1.8636;         2.2;         III;         2.7;           4;NW EGIARRETA.NA
      778495;  03/08/2007;    21:55:11;     42.9656;     -1.9055;         0.0;            ;         0.8;           4;S MUGIRO.NA
      782711;  16/08/2007;    00:56:22;     43.0264;     -2.1670;         0.0;            ;         0.8;           4;SE LAZKAO.SS
      783815;  19/08/2007;    02:06:29;     43.2042;     -1.8837;        12.1;            ;         1.1;           4;NE ARANO.NA
      783852;  19/08/2007;    07:27:55;     43.2514;     -1.8721;         0.0;            ;         1.1;           4;S OIARTZUN.SS
      787385;  31/08/2007;    01:41:46;     43.0895;     -1.8416;         0.0;            ;         0.9;           4;W EZKURRA.NA
      788187;  02/09/2007;    16:38:18;     43.2146;     -1.8290;        17.0;            ;         2.3;           4;E ARANO.NA
      788216;  02/09/2007;    16:48:35;     43.1885;     -1.9086;         0.0;            ;         1.1;           4;SW ARANO.NA
      798960;  06/10/2007;    18:12:23;     42.9491;     -1.7829;         0.0;            ;         0.7;           4;SE ETXALEKU.NA
      802744;  23/10/2007;    03:47:28;     43.1802;     -1.7218;         0.0;            ;         1.2;           4;S ARANTZA.NA
      803649;  27/10/2007;    00:41:53;     43.0317;     -2.1987;         7.3;            ;         1.2;           4;NE OLABERRIA.SS
      803656;  27/10/2007;    00:48:51;     43.0593;     -2.1881;        11.0;            ;         1.8;           4;NW ORDIZIA.SS
      803752;  27/10/2007;    00:53:09;     43.0450;     -2.2199;         9.9;            ;         1.3;           4;W BEASAIN.SS
      803702;  27/10/2007;    01:00:14;     43.0188;     -2.2054;        10.8;            ;         1.3;           4;SW OLABERRIA.SS
      803675;  27/10/2007;    01:01:12;     42.9904;     -2.1513;        14.9;            ;         2.1;           4;SE SAN MARTIN.SS
      803691;  27/10/2007;    01:07:13;     43.0483;     -2.2100;         6.7;            ;         1.5;           4;W BEASAIN.SS
      803694;  27/10/2007;    01:11:37;     43.0087;     -2.1801;        10.4;            ;         2.5;           4;W SAN MARTIN.SS
      803716;  27/10/2007;    01:12:26;     42.9839;     -2.1496;        10.8;            ;         2.4;           4;SE SAN MARTIN.SS
      883629;  27/10/2007;    01:14:56;     43.0068;     -2.1677;        10.8;            ;         1.2;           4;E SAN MARTIN.SS
      803718;  27/10/2007;    01:19:09;     43.0396;     -2.1875;         0.3;            ;         1.0;           4;NW LAZKAO.SS
      803720;  27/10/2007;    01:20:26;     43.0313;     -2.2184;         5.3;            ;         0.8;           4;W OLABERRIA.SS
      803760;  27/10/2007;    01:21:58;     43.0714;     -2.2469;         8.3;            ;         0.9;           4;E SANTA LUTZI-ANDUAGA.SS
      803703;  27/10/2007;    01:23:17;     43.0393;     -2.2010;         0.0;            ;         1.6;           4;N OLABERRIA.SS
      803767;  27/10/2007;    01:26:45;     42.9926;     -2.1883;        17.1;            ;         1.1;           4;SW SAN MARTIN.SS
